Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2009-11-10T00:00:00Z,0,1339450,0,0,0,2.15422535211e-4,0,1,0,3.5294291437e-6,1,0,0,0,0,71,71,26958,71,71,3550,0,0
2009-11-11T00:00:00Z,0,1342900,0,0,0,3.23072463768e-4,0,1,0,3.43000860444e-6,1,0,0,19.1666666667,0,71,78,27036,78,78,93450,18e3,0
2009-11-12T00:00:00Z,0,1346400,0,0,0,2.15357142857e-4,0,1,0,3.47971887407e-6,1,0,0,0,0,70,70,27106,70,70,3500,0,0
2009-11-13T00:00:00Z,0,1349900,0,0,0,2.41728571429e-4,0,1,0,3.47971887407e-6,1,0,0,673.076923077,0,73,73,27179,73,73,4100,520,0
2009-11-14T00:00:00Z,0,1354050,0,0,0,2.15638554217e-4,0,1,0,4.12595237926e-6,1,0,0,0,0,83,83,27262,83,83,4150,0,0
2009-11-15T00:00:00Z,0,1358850,0,0,0,2.15583333333e-4,0,1,0,4.77218588444e-6,1,0,0,0,0,96,96,27358,96,96,4800,0,0
2009-11-16T00:00:00Z,0,1363850,0,0,0,2.1569e-4,0,1,0,4.97102696296e-6,1,0,0,0,0,100,100,27458,100,100,5e3,0,0
2009-11-17T00:00:00Z,0,1368400,0,0,0,2.15681318681e-4,0,1,0,4.5236345363e-6,1,0,0,0,0,91,91,27549,91,91,4550,0,0
2009-11-18T00:00:00Z,0,1372350,0,0,0,2.15544303797e-4,0,1,0,3.92711130074e-6,1,0,0,0,0,79,79,27628,79,79,3950,0,0
2009-11-19T00:00:00Z,0,1376e3,0,0,0,2.15342465753e-4,0,1,0,3.62884968296e-6,1,0,0,0,0,73,73,27701,73,73,3650,0,0
2009-11-20T00:00:00Z,0,1380100,0,0,0,3.51951219512e-4,0,1,0,4.07624210963e-6,1,0,0,9.24464487035,0,84,84,27785,84,84,48450,44350,0
2009-11-21T00:00:00Z,0,1383950,0,0,0,2.15714285714e-4,0,1,0,3.82769076148e-6,1,0,0,0,0,77,77,27862,77,77,3850,0,0
2009-11-22T00:00:00Z,0,1388950,0,0,0,2.1569e-4,0,1,0,4.97102696296e-6,1,0,0,0,0,100,100,27962,100,100,5e3,0,0
2009-11-23T00:00:00Z,0,1393750,0,0,0,2.15875e-4,0,1,0,4.77218588444e-6,1,0,0,0,0,96,96,28058,96,96,4800,0,0
2009-11-24T00:00:00Z,0,1398850,0,0,0,2.15607843137e-4,0,1,0,5.07044750222e-6,1,0,0,0,0,102,102,28160,102,102,5100,0,0
2009-11-25T00:00:00Z,0,1403100,0,0,0,2.15647058824e-4,0,1,0,4.22537291852e-6,1,0,0,0,0,85,85,28245,85,85,4250,0,0
2009-11-26T00:00:00Z,0,1407e3,0,0,0,2.15525641026e-4,0,1,0,3.87740103111e-6,1,0,0,0,0,78,78,28323,78,78,3900,0,0
2009-11-27T00:00:00Z,0,1410750,0,0,0,2.15506666667e-4,0,1,0,3.72827022222e-6,1,0,0,0,0,75,75,28398,75,75,3750,0,0
2009-11-28T00:00:00Z,0,1414650,0,0,0,2.15512820513e-4,0,1,0,3.87740103111e-6,1,0,0,0,0,78,78,28476,78,78,3900,0,0
2009-11-29T00:00:00Z,0,1417550,0,0,0,2.15637931034e-4,0,1,0,2.88319563852e-6,1,0,0,0,0,58,58,28534,58,58,2900,0,0
2009-11-30T00:00:00Z,0,1421250,0,0,0,2.15743243243e-4,0,1,0,3.67855995259e-6,1,0,0,0,0,74,74,28608,74,74,3700,0,0
2009-12-01T00:00:00Z,0,1424550,0,0,0,2.15818181818e-4,0,1,0,3.28087779556e-6,1,0,0,0,0,66,66,28674,66,66,3300,0,0
2009-12-02T00:00:00Z,0,1429450,0,0,0,4.15265306122e-4,0,1,0,4.8716064237e-6,1,0,0.22,48.9990200196,0,100,99,28773,99,99,14950,1e4,0
2009-12-03T00:00:00Z,0,1433700,0,0,0,2.15776470588e-4,0,1,0,4.22537291852e-6,1,0,0,0,0,85,85,28858,85,85,4250,0,0
2009-12-04T00:00:00Z,0,1436150,0,0,0,2.15591836735e-4,0,1,0,2.43580321185e-6,1,0,0,0,0,49,49,28907,49,49,2450,0,0
2009-12-05T00:00:00Z,0,1438750,0,0,0,2.15211538462e-4,0,1,0,2.58493402074e-6,1,0,0,0,0,52,52,28959,52,52,2600,0,0
2009-12-06T00:00:00Z,0,1444e3,0,0,0,2.40819047619e-4,0,1,0,5.21957831111e-6,1,0,0,527.293727716,0,109,108,29067,108,108,6290,996,0
2009-12-07T00:00:00Z,0,1448700,0,0,0,2.15606382979e-4,0,1,0,4.67276534519e-6,1,0,0,0,0,94,94,29161,94,94,4700,0,0
2009-12-08T00:00:00Z,0,1454650,0,0,0,2.45243697479e-4,0,1,0,5.91552208593e-6,1,0,0,396.666666667,0,120,121,29282,121,121,7450,1500,0
2009-12-09T00:00:00Z,0,1459350,0,0,0,2.56180851064e-4,0,1,0,4.67276534519e-6,1,0,0,223.384030418,0,104,104,29386,104,104,6985,2104,0
