Date,Open,High,Low,Close,Volume,Market Cap
"Nov 07, 2017",7023.1,7253.32,7023.1,7144.38,232634e4,117056e6
"Nov 06, 2017",7403.22,7445.77,7007.31,7022.76,31119e5,123379e6
"Nov 05, 2017",7404.52,7617.48,7333.19,7407.41,238041e4,123388e6
"Nov 04, 2017",7164.48,7492.86,7031.28,7379.95,24838e5,119376e6
"Nov 03, 2017",7087.53,7461.29,7002.94,7207.76,336986e4,118084e6
"Nov 02, 2017",6777.77,7367.33,6758.72,7078.5,465377e4,11291e7
"Nov 01, 2017",6440.97,6767.31,6377.88,6767.31,287032e4,107287e6
"Oct 31, 2017",6132.02,6470.43,6103.33,6468.4,231138e4,10213e7
"Oct 30, 2017",6114.85,6214.99,6040.85,6130.53,177215e4,101833e6
"Oct 29, 2017",5754.44,6255.71,5724.58,6153.85,285904e4,958198e5
"Oct 28, 2017",5787.82,5876.72,5689.19,5753.09,140392e4,963696e5
"Oct 27, 2017",5899.74,5988.39,5728.82,5780.9,171013e4,982254e5
"Oct 26, 2017",5747.95,5976.8,5721.22,5904.83,190504e4,956851e5
"Oct 25, 2017",5524.6,5754.33,5397.88,5750.8,196699e4,919542e5
"Oct 24, 2017",5935.52,5935.52,5504.18,5526.64,27357e5,987816e5
"Oct 23, 2017",6006,6075.59,5732.47,5930.32,240184e4,999416e5
"Oct 22, 2017",6036.66,6076.26,5792.34,6008.42,203463e4,100438e6
"Oct 21, 2017",5996.79,6194.88,5965.07,6031.6,22071e5,997632e5
"Oct 20, 2017",5708.11,6060.11,5627.23,6011.45,235443e4,949479e5
"Oct 19, 2017",5583.74,5744.35,5531.06,5708.52,178054e4,92867e6
"Oct 18, 2017",5603.82,5603.82,5151.44,5590.69,239927e4,931902e5
"Oct 17, 2017",5741.58,5800.35,5472.72,5605.51,182157e4,954693e5
"Oct 16, 2017",5687.57,5776.23,5544.21,5725.59,200807e4,94559e6
"Oct 15, 2017",5835.96,5852.48,5478.61,5678.19,197604e4,970119e5
"Oct 14, 2017",5643.53,5837.7,5591.64,5831.79,166903e4,93803e6
"Oct 13, 2017",5464.16,5840.3,5436.85,5647.21,361548e4,908124e5
"Oct 12, 2017",4829.58,5446.91,4822,5446.91,279161e4,802567e5
"Oct 11, 2017",4789.25,4873.73,4751.63,4826.48,122228e4,795782e5
"Oct 10, 2017",4776.21,4922.17,4765.1,4781.99,159714e4,793518e5
"Oct 09, 2017",4614.52,4878.71,4564.25,4772.02,196874e4,766565e5
"Oct 08, 2017",4429.67,4624.14,4405.64,4610.48,131387e4,735754e5
"Oct 07, 2017",4369.35,4443.88,4321.05,4426.89,906928e3,725651e5
"Oct 06, 2017",4324.46,4413.27,4320.53,4370.81,106994e4,718106e5
"Oct 05, 2017",4229.88,4362.64,4164.05,4328.41,116177e4,702337e5
"Oct 04, 2017",4319.37,4352.31,4210.42,4229.36,111677e4,717125e5
"Oct 03, 2017",4408.46,4432.47,4258.89,4317.48,128802e4,731813e5
"Oct 02, 2017",4395.81,4470.23,4377.46,4409.32,143173e4,729632e5
"Oct 01, 2017",4341.05,4403.74,4269.81,4403.74,120821e4,720473e5
"Sep 30, 2017",4166.11,4358.43,4160.86,4338.71,120745e4,691366e5
"Sep 29, 2017",4171.62,4214.63,4039.29,4163.07,136705e4,692192e5
"Sep 28, 2017",4197.13,4279.31,4109.7,4174.73,171232e4,696332e5
"Sep 27, 2017",3892.94,4210.05,3884.82,4200.67,168688e4,645792e5
"Sep 26, 2017",3928.41,3969.89,3869.9,3892.35,104374e4,65161e6
"Sep 25, 2017",3681.58,3950.25,3681.58,3926.07,137421e4,610611e5
"Sep 24, 2017",3796.15,3796.15,3666.9,3682.84,768015e3,629543e5
"Sep 23, 2017",3629.92,3819.21,3594.58,3792.4,928114e3,6019e7
"Sep 22, 2017",3628.02,3758.27,3553.53,3630.7,119483e4,601523e5
"Sep 21, 2017",3901.47,3916.42,3613.63,3631.04,141148e4,646776e5
"Sep 20, 2017",3916.36,4031.39,3857.73,3905.95,121383e4,649185e5
"Sep 19, 2017",4073.79,4094.07,3868.87,3924.97,156398e4,675203e5
"Sep 18, 2017",3591.09,4079.23,3591.09,4065.2,194321e4,595141e5
"Sep 17, 2017",3606.28,3664.81,3445.64,3582.88,123915e4,597578e5
"Sep 16, 2017",3637.75,3808.84,3487.79,3625.04,18184e5,602716e5
"Sep 15, 2017",3166.3,3733.45,2946.62,3637.52,414807e4,524535e5
"Sep 14, 2017",3875.37,3920.6,3153.86,3154.95,271631e4,641916e5
"Sep 13, 2017",4131.98,4131.98,3789.92,3882.59,221941e4,684322e5
"Sep 12, 2017",4168.88,4344.65,4085.22,4130.81,186453e4,690334e5
"Sep 11, 2017",4122.47,4261.67,4099.4,4161.27,155733e4,68256e6
"Sep 10, 2017",4229.34,4245.44,3951.04,4122.94,167909e4,700181e5
"Sep 09, 2017",4229.81,4308.82,4114.11,4226.06,138623e4,700172e5
"Sep 08, 2017",4605.16,4661,4075.18,4228.75,270089e4,762202e5
"Sep 07, 2017",4589.14,4655.04,4491.33,4599.88,184462e4,75945e6
"Sep 06, 2017",4376.59,4617.25,4376.59,4597.12,21721e5,724187e5
"Sep 05, 2017",4228.29,4427.84,3998.11,4376.53,269797e4,699544e5
"Sep 04, 2017",4591.63,4591.63,4108.4,4236.31,298733e4,759555e5
"Sep 03, 2017",4585.27,4714.08,4417.59,4582.96,193319e4,758417e5
"Sep 02, 2017",4901.42,4975.04,4469.24,4578.77,272214e4,810606e5
"Sep 01, 2017",4701.76,4892.01,4678.53,4892.01,259908e4,777484e5
"Aug 31, 2017",4555.59,4736.05,4549.4,4703.39,194493e4,753223e5
"Aug 30, 2017",4570.36,4626.52,4471.41,4565.3,193785e4,755566e5
"Aug 29, 2017",4389.21,4625.68,4352.13,4579.02,248608e4,725538e5
"Aug 28, 2017",4384.45,4403.93,4224.64,4382.66,195933e4,724679e5
"Aug 27, 2017",4345.1,4416.59,4317.29,4382.88,153746e4,718092e5
"Aug 26, 2017",4372.06,4379.28,4269.52,4352.4,151161e4,722491e5
"Aug 25, 2017",4332.82,4455.7,4307.35,4371.6,172797e4,715951e5
"Aug 24, 2017",4137.6,4376.39,4130.26,4334.68,203775e4,683639e5
"Aug 23, 2017",4089.01,4255.78,4078.41,4151.52,236982e4,67553e6
"Aug 22, 2017",3998.35,4128.76,3674.58,4100.52,376424e4,66051e6
"Aug 21, 2017",4090.48,4109.14,3988.6,4001.74,280089e4,675671e5
"Aug 20, 2017",4189.31,4196.29,4069.88,4087.66,210977e4,691927e5
"Aug 19, 2017",4137.75,4243.26,3970.55,4193.7,297582e4,683331e5
"Aug 18, 2017",4324.34,4370.13,4015.4,4160.62,294171e4,714065e5
"Aug 17, 2017",4384.44,4484.7,4243.71,4331.69,255336e4,723891e5
"Aug 16, 2017",4200.34,4381.23,3994.42,4376.63,227204e4,693427e5
"Aug 15, 2017",4326.99,4455.97,3906.18,4181.93,325805e4,714255e5
"Aug 14, 2017",4066.1,4325.13,3989.16,4325.13,246309e4,671123e5
"Aug 13, 2017",3880.04,4208.39,3857.8,4073.26,315909e4,640341e5
"Aug 12, 2017",3650.63,3949.92,3613.7,3884.71,221959e4,602421e5
"Aug 11, 2017",3373.82,3679.72,3372.12,3650.62,202119e4,55668e6
"Aug 10, 2017",3341.84,3453.45,3319.47,3381.28,151511e4,551347e5
"Aug 09, 2017",3420.4,3422.76,3247.67,3342.47,146896e4,564249e5
"Aug 08, 2017",3370.22,3484.85,3345.83,3419.94,175276e4,555903e5
"Aug 07, 2017",3212.78,3397.68,3180.89,3378.94,148228e4,529873e5
"Aug 06, 2017",3257.61,3293.29,3155.6,3213.94,110503e4,537209e5
"Aug 05, 2017",2897.63,3290.01,2874.83,3252.91,19457e5,477782e5
"Aug 04, 2017",2806.93,2899.33,2743.72,2895.89,100212e4,462762e5
"Aug 03, 2017",2709.56,2813.31,2685.14,2804.73,804797e3,446664e5
"Aug 02, 2017",2727.13,2762.53,2668.59,2710.67,109495e4,449508e5
"Aug 01, 2017",2871.3,2921.35,2685.61,2718.26,132467e4,473218e5
"Jul 31, 2017",2763.24,2889.62,2720.61,2875.34,860575e3,455358e5
"Jul 30, 2017",2724.39,2758.53,2644.85,2757.18,705943e3,448907e5
"Jul 29, 2017",2807.02,2808.76,2692.8,2726.45,803746e3,462467e5
"Jul 28, 2017",2679.73,2897.45,2679.73,2809.01,13801e5,441444e5
"Jul 27, 2017",2538.71,2693.32,2529.34,2671.78,789104e3,418165e5
"Jul 26, 2017",2577.77,2610.76,2450.8,2529.45,937404e3,42455e6
"Jul 25, 2017",2757.5,2768.08,2480.96,2576.48,146009e4,454101e5
"Jul 24, 2017",2732.7,2777.26,2699.19,2754.86,866474e3,449956e5
"Jul 23, 2017",2808.1,2832.18,2653.94,2730.4,107284e4,462311e5
"Jul 22, 2017",2668.63,2862.42,2657.71,2810.12,117713e4,439296e5
"Jul 21, 2017",2838.41,2838.41,2621.85,2667.76,148945e4,46719e6
"Jul 20, 2017",2269.89,2900.7,2269.89,2817.6,224926e4,373568e5
"Jul 19, 2017",2323.08,2397.17,2260.23,2273.43,12451e5,382278e5
"Jul 18, 2017",2233.52,2387.61,2164.77,2318.88,151245e4,367494e5
"Jul 17, 2017",1932.62,2230.49,1932.62,2228.41,120176e4,31795e6
"Jul 16, 2017",1991.98,2058.77,1843.03,1929.82,118287e4,327676e5
"Jul 15, 2017",2230.12,2231.14,1990.41,1998.86,993608e3,366813e5
"Jul 14, 2017",2360.59,2363.25,2183.22,2233.34,882503e3,388231e5
"Jul 13, 2017",2402.7,2425.22,2340.83,2357.9,83577e4,39511e6
"Jul 12, 2017",2332.77,2423.71,2275.14,2398.84,111741e4,383559e5
"Jul 11, 2017",2385.89,2413.47,2296.81,2337.79,132976e4,392242e5
"Jul 10, 2017",2525.25,2537.16,2321.13,2372.56,11112e5,41509e6
"Jul 09, 2017",2572.61,2635.49,2517.59,2518.44,527856e3,422832e5
"Jul 08, 2017",2520.27,2571.34,2492.31,2571.34,73333e4,414177e5
"Jul 07, 2017",2608.59,2916.14,2498.87,2518.66,917412e3,428642e5
"Jul 06, 2017",2608.1,2616.72,2581.69,2608.56,761957e3,428514e5
"Jul 05, 2017",2602.87,2622.65,2538.55,2601.99,941566e3,427608e5
"Jul 04, 2017",2561,2631.59,2559.35,2601.64,985516e3,420679e5
"Jul 03, 2017",2498.56,2595,2480.47,2564.06,964112e3,410372e5
"Jul 02, 2017",2436.4,2514.28,2394.84,2506.47,803747e3,400105e5
"Jul 01, 2017",2492.6,2515.27,2419.23,2434.55,779914e3,409282e5
"Jun 30, 2017",2539.24,2559.25,2478.43,2480.84,860273e3,416891e5
